durations,T_all,NA_core,NA_rim,NB_core,NB_rim
173.0,1207.2982070803628,220.43875973530768,801.0,404.5612402646923,0.0
174.0,1207.2460383849739,219.74649863401538,801.0,405.2535013659846,0.0
175.0,1207.193869689585,219.05989576895584,801.0,405.9401042310442,0.0
176.0,1207.1417009941963,218.37888340942575,801.0,406.6211165905743,0.0
177.0,1207.0895322988074,217.70339490117976,801.0,407.29660509882024,0.0
178.0,1207.0373636034185,217.03336464512788,801.0,407.9666353548721,0.0
179.0,1206.9851949080298,216.36872807653677,801.0,408.63127192346326,0.0
180.0,1206.933026212641,215.7094216447212,801.0,409.2905783552788,0.0
181.0,1206.880857517252,215.05538279321195,801.0,409.94461720678805,0.0
182.0,1206.8286888218634,214.40654994038744,801.0,410.59345005961256,0.0
183.0,1206.7765201264745,213.76286246055645,801.0,411.23713753944355,0.0
184.0,1206.7243514310856,213.12426066547945,801.0,411.8757393345205,0.0
185.0,1206.6721827356969,212.49068578631716,801.0,412.50931421368284,0.0
186.0,1206.620014040308,211.86207995599443,801.0,413.13792004400557,0.0
187.0,1206.567845344919,211.23838619196857,801.0,413.7616138080314,0.0
188.0,1206.5156766495302,210.6195483793915,801.0,414.3804516206085,0.0
189.0,1206.4635079541415,210.00551125465472,801.0,414.9944887453453,0.0
190.0,1206.4113392587526,209.39622038930776,801.0,415.60377961069224,0.0
191.0,1206.3591705633637,208.79162217433932,801.0,416.2083778256607,0.0
192.0,1206.307001867975,208.19166380481263,801.0,416.8083361951874,0.0
193.0,1206.2548331725861,207.5962932648448,801.0,417.4037067351552,0.0
194.0,1206.2026644771972,207.00545931292194,801.0,417.99454068707803,0.0
195.0,1206.1504957818086,206.4191114675408,801.0,418.5808885324592,0.0
196.0,1206.0983270864197,205.83719999316887,801.0,419.16280000683116,0.0
197.0,1206.0461583910308,205.25967588651437,801.0,419.7403241134856,0.0
198.0,1205.993989695642,204.68649086309873,801.0,420.3135091369013,0.0
199.0,1205.9418210002532,204.11759734412297,801.0,420.88240265587706,0.0
200.0,1205.8896523048643,203.55294844362152,801.0,421.4470515563785,0.0
201.0,1205.8374836094756,202.99249795589523,801.0,422.00750204410474,0.0
202.0,1205.7853149140867,202.4362003432172,801.0,422.5637996567828,0.0
203.0,1205.7331462186978,201.88401072380398,801.0,423.11598927619605,0.0
204.0,1205.6809775233091,201.33588486004626,801.0,423.66411513995376,0.0
205.0,1205.6288088279202,200.79177914699147,801.0,424.2082208530085,0.0
206.0,1205.5766401325313,200.25165060107304,801.0,424.74834939892696,0.0
207.0,1205.5244714371424,199.7154568490796,801.0,425.2845431509204,0.0
208.0,1205.4723027417538,199.1831561173583,801.0,425.8168438826417,0.0
209.0,1205.4201340463649,198.6547072212466,801.0,426.3452927787534,0.0
210.0,1205.367965350976,198.13006955472673,801.0,426.86993044527327,0.0
